gw,home_club,away_club,home_group,away_group,self
2,CRY,MCI,G6,G9,False
2,LIV,NFO,G10,G5,False
2,BOU,EVE,G9,G6,False
2,COV,HUL,G4,G1,False
2,TOT,NEW,G7,G10,False
2,CHE,BHA,G8,G3,False
2,LEE,BRE,G5,G7,False
2,SUN,FUL,G2,G8,False
2,MUN,IPS,G1,G2,False
2,AVL,ARS,G3,G4,False
3,IPS,LIV,G2,G10,False
3,NEW,BOU,G10,G9,False
3,BRE,SUN,G7,G2,False
3,BHA,LEE,G3,G5,False
3,FUL,CRY,G8,G6,False
3,MCI,COV,G9,G4,False
3,NFO,TOT,G5,G7,False
3,HUL,AVL,G1,G3,False
3,EVE,MUN,G6,G1,False
3,ARS,CHE,G4,G8,False
4,AVL,NFO,G3,G5,False
4,BOU,BRE,G9,G7,False
4,CHE,HUL,G8,G1,False
4,CRY,IPS,G6,G2,False
4,LIV,FUL,G10,G8,False
4,TOT,EVE,G7,G6,False
4,SUN,ARS,G2,G4,False
4,COV,BHA,G4,G3,False
4,MUN,MCI,G1,G9,False
4,LEE,NEW,G5,G10,False
5,BRE,CHE,G7,G8,False
5,TOT,AVL,G7,G3,False
5,BHA,ARS,G3,G4,False
5,EVE,IPS,G6,G2,False
5,LEE,CRY,G5,G6,False
5,MCI,SUN,G9,G2,False
5,NEW,HUL,G10,G1,False
5,NFO,COV,G5,G4,False
5,BOU,LIV,G9,G10,False
5,FUL,MUN,G8,G1,False
6,ARS,LEE,G4,G5,False
6,AVL,BRE,G3,G7,False
6,CHE,BOU,G8,G9,False
6,IPS,FUL,G2,G8,False
6,SUN,BHA,G2,G3,False
6,MUN,TOT,G1,G7,False
6,CRY,NFO,G6,G5,False
6,HUL,EVE,G1,G6,False
6,LIV,MCI,G10,G9,False
6,COV,NEW,G4,G10,False
7,EVE,CHE,G6,G8,False
7,BRE,LIV,G7,G10,False
7,FUL,HUL,G8,G1,False
7,MCI,IPS,G9,G2,False
7,NEW,AVL,G10,G3,False
7,BOU,SUN,G9,G2,False
7,BHA,CRY,G3,G6,False
7,LEE,MUN,G5,G1,False
7,NFO,ARS,G5,G4,False
7,TOT,COV,G7,G4,False
8,IPS,NFO,G2,G5,False
8,AVL,MCI,G3,G9,False
8,ARS,EVE,G4,G6,False
8,COV,FUL,G4,G8,False
8,LIV,BHA,G10,G3,False
8,CHE,TOT,G8,G7,False
8,CRY,NEW,G6,G10,False
8,HUL,BRE,G1,G7,False
8,MUN,BOU,G1,G9,False
8,SUN,LEE,G2,G5,False
9,CHE,MUN,G8,G1,False
9,BOU,LEE,G9,G5,False
9,BRE,NFO,G7,G5,False
9,COV,SUN,G4,G2,False
9,HUL,IPS,G1,G2,False
9,MCI,BHA,G9,G3,False
9,TOT,CRY,G7,G6,False
9,AVL,FUL,G3,G8,False
9,LIV,ARS,G10,G4,False
9,NEW,EVE,G10,G6,False
10,ARS,HUL,G4,G1,False
10,BHA,BRE,G3,G7,False
10,CRY,LIV,G6,G10,False
10,EVE,COV,G6,G4,False
10,FUL,NEW,G8,G10,False
10,IPS,BOU,G2,G9,False
10,LEE,TOT,G5,G7,False
10,MUN,AVL,G1,G3,False
10,NFO,MCI,G5,G9,False
10,SUN,CHE,G2,G8,False
11,AVL,SUN,G3,G2,False
11,BOU,NFO,G9,G5,False
11,BRE,EVE,G7,G6,False
11,CHE,LEE,G8,G5,False
11,COV,CRY,G4,G6,False
11,HUL,BHA,G1,G3,False
11,LIV,MUN,G10,G1,False
11,MCI,FUL,G9,G8,False
11,NEW,ARS,G10,G4,False
11,TOT,IPS,G7,G2,False
12,ARS,MCI,G4,G9,False
12,BHA,NEW,G3,G10,False
12,CRY,HUL,G6,G1,False
12,EVE,LIV,G6,G10,False
12,FUL,BOU,G8,G9,False
12,IPS,AVL,G2,G3,False
12,LEE,COV,G5,G4,False
12,MUN,BRE,G1,G7,False
12,NFO,CHE,G5,G8,False
12,SUN,TOT,G2,G7,False
13,AVL,EVE,G3,G6,False
13,BOU,BHA,G9,G3,False
13,BRE,ARS,G7,G4,False
13,CHE,CRY,G8,G6,False
13,COV,IPS,G4,G2,False
13,HUL,NFO,G1,G5,False
13,LIV,SUN,G10,G2,False
13,MCI,LEE,G9,G5,False
13,NEW,MUN,G10,G1,False
13,TOT,FUL,G7,G8,False
14,AVL,CRY,G3,G6,False
14,BOU,HUL,G9,G1,False
14,BRE,MCI,G7,G9,False
14,CHE,LIV,G8,G10,False
14,EVE,FUL,G6,G8,False
14,LEE,IPS,G5,G2,False
14,MUN,COV,G1,G4,False
14,NEW,SUN,G10,G2,False
14,NFO,BHA,G5,G3,False
14,TOT,ARS,G7,G4,False
15,ARS,BOU,G4,G9,False
15,BHA,EVE,G3,G6,False
15,COV,AVL,G4,G3,False
15,CRY,MUN,G6,G1,False
15,FUL,BRE,G8,G7,False
15,HUL,TOT,G1,G7,False
15,IPS,NEW,G2,G10,False
15,LIV,LEE,G10,G5,False
15,MCI,CHE,G9,G8,False
15,SUN,NFO,G2,G5,False
16,ARS,MUN,G4,G1,False
16,BOU,COV,G9,G4,False
16,BRE,NEW,G7,G10,False
16,BHA,IPS,G3,G2,False
16,CHE,AVL,G8,G3,False
16,LEE,FUL,G5,G8,False
16,LIV,TOT,G10,G7,False
16,MCI,HUL,G9,G1,False
16,NFO,EVE,G5,G6,False
16,SUN,CRY,G2,G6,False
17,AVL,LEE,G3,G5,False
17,COV,CHE,G4,G8,False
17,CRY,ARS,G6,G4,False
17,EVE,SUN,G6,G2,False
17,FUL,BHA,G8,G3,False
17,HUL,LIV,G1,G10,False
17,IPS,BRE,G2,G7,False
17,MUN,NFO,G1,G5,False
17,NEW,MCI,G10,G9,False
17,TOT,BOU,G7,G9,False
18,AVL,LIV,G3,G10,False
18,COV,BRE,G4,G7,False
18,CRY,BOU,G6,G9,False
18,EVE,MCI,G6,G9,False
18,FUL,ARS,G8,G4,False
18,HUL,LEE,G1,G5,False
18,IPS,CHE,G2,G8,False
18,MUN,SUN,G1,G2,False
18,NEW,NFO,G10,G5,False
18,TOT,BHA,G7,G3,False
19,ARS,IPS,G4,G2,False
19,BOU,AVL,G9,G3,False
19,BRE,CRY,G7,G6,False
19,BHA,MUN,G3,G1,False
19,CHE,NEW,G8,G10,False
19,LEE,EVE,G5,G6,False
19,LIV,COV,G10,G4,False
19,MCI,TOT,G9,G7,False
19,NFO,FUL,G5,G8,False
19,SUN,HUL,G2,G1,False
20,ARS,BRE,G4,G7,False
20,BHA,BOU,G3,G9,False
20,CRY,CHE,G6,G8,False
20,EVE,AVL,G6,G3,False
20,FUL,TOT,G8,G7,False
20,IPS,COV,G2,G4,False
20,LEE,MCI,G5,G9,False
20,MUN,NEW,G1,G10,False
20,NFO,HUL,G5,G1,False
20,SUN,LIV,G2,G10,False
21,AVL,MUN,G3,G1,False
21,BOU,IPS,G9,G2,False
21,BRE,BHA,G7,G3,False
21,CHE,SUN,G8,G2,False
21,COV,EVE,G4,G6,False
21,HUL,ARS,G1,G4,False
21,LIV,CRY,G10,G6,False
21,MCI,NFO,G9,G5,False
21,NEW,FUL,G10,G8,False
21,TOT,LEE,G7,G5,False
22,ARS,NEW,G4,G10,False
22,BHA,MCI,G3,G9,False
22,CRY,TOT,G6,G7,False
22,EVE,BRE,G6,G7,False
22,FUL,AVL,G8,G3,False
22,IPS,HUL,G2,G1,False
22,LEE,CHE,G5,G8,False
22,MUN,LIV,G1,G10,False
22,NFO,BOU,G5,G9,False
22,SUN,COV,G2,G4,False
23,AVL,IPS,G3,G2,False
23,BOU,FUL,G9,G8,False
23,BRE,MUN,G7,G1,False
23,CHE,NFO,G8,G5,False
23,COV,LEE,G4,G5,False
23,HUL,CRY,G1,G6,False
23,LIV,EVE,G10,G6,False
23,MCI,ARS,G9,G4,False
23,NEW,BHA,G10,G3,False
23,TOT,SUN,G7,G2,False
24,ARS,LIV,G4,G10,False
24,BHA,HUL,G3,G1,False
24,CRY,COV,G6,G4,False
24,EVE,NEW,G6,G10,False
24,FUL,MCI,G8,G9,False
24,IPS,TOT,G2,G7,False
24,LEE,BOU,G5,G9,False
24,MUN,CHE,G1,G8,False
24,NFO,BRE,G5,G7,False
24,SUN,AVL,G2,G3,False
25,AVL,BOU,G3,G9,False
